site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,PACE,410,RHOW,32,28,15,15,1.0731,1.9897,1.1997,1.9396,3.1359,-0.063611,-0.031531000000000003,-0.01169,NA,TRUE,TRUE,0.013361,0.011814,44.8042,-0.4979,-0.358732,-0.195108,0.316256,0.420982,0.508159,-99.609,-55.9411,-24.2657,39.8814,55.9411,99.609
MAFR,HYPERNETS,PACE,411,RHOW,32,28,15,15,1.0736,1.8318,1.1856,1.911,3.0801,-0.062966,-0.031207,-0.011502,NA,TRUE,TRUE,0.013356,0.011831,44.3167,-0.494678,-0.363896,-0.195039,0.316332,0.394678,0.494957,-98.3687,-57.2071,-24.2571,38.1049,57.2071,98.3687
MAFR,HYPERNETS,PACE,412,RHOW,32,28,15,15,1.0599,1.7264,1.1658,1.877,3.0222,-0.062159,-0.030675,-0.011121,NA,TRUE,TRUE,0.013385,0.01188,43.93,-0.487669,-0.357899,-0.199658,0.316607,0.397735,0.487669,-95.5813,-55.7387,-25.0037,38.8795,55.7387,95.5813
MAFR,HYPERNETS,PACE,413,RHOW,32,28,15,15,1.0463,1.6914,1.1585,1.8686,3.0138,-0.062795,-0.030895,-0.011117,NA,TRUE,TRUE,0.013496,0.01203,43.9401,-0.49015,-0.366353,-0.20312,0.323726,0.39096,0.49015,-96.5066,-57.8165,-25.5591,39.0986,57.8165,96.5066
MAFR,HYPERNETS,PACE,414,RHOW,32,28,15,15,1.0465,1.6041,1.1396,1.8299,2.9384,-0.061604,-0.030261,-0.010743,NA,TRUE,TRUE,0.013376,0.011905,42.791,-0.48233,-0.349998,-0.201454,0.312314,0.379149,0.48233,-93.4898,-53.8457,-25.2821,37.8877,53.8457,93.4898
MAFR,HYPERNETS,PACE,415,RHOW,32,28,15,15,1.0311,1.5757,1.1186,1.7943,2.8783,-0.060939,-0.029779,-0.010354,NA,TRUE,TRUE,0.013361,0.011898,42.1079,-0.477594,-0.336369,-0.20206,0.306545,0.36405,0.477594,-91.728,-50.6863,-25.3566,36.2304,50.6863,91.728
MAFR,HYPERNETS,PACE,416,RHOW,32,28,15,15,1.0344,1.5467,1.1141,1.7836,2.8555,-0.06071,-0.029647,-0.010243,NA,TRUE,TRUE,0.013259,0.011818,41.4703,-0.473148,-0.331474,-0.199449,0.299503,0.357976,0.473148,-90.026,-49.5829,-24.9543,35.1226,49.5829,90.026
MAFR,HYPERNETS,PACE,417,RHOW,32,28,15,15,1.0201,1.5008,1.0949,1.7511,2.8004,-0.059703,-0.028977,-0.009764,NA,TRUE,TRUE,0.013211,0.011807,40.9626,-0.467524,-0.321936,-0.205918,0.29149,0.355312,0.467524,-87.9705,-47.4786,-25.9604,34.8669,47.4786,87.9705
MAFR,HYPERNETS,PACE,418,RHOW,32,28,15,15,0.998,1.4491,1.0735,1.7179,2.7492,-0.059352,-0.028632,-0.009436,NA,TRUE,TRUE,0.013314,0.011905,40.5545,-0.462648,-0.319656,-0.213777,0.290622,0.347246,0.462648,-86.2061,-46.9844,-27.2116,34.4829,46.9844,86.2061
MAFR,HYPERNETS,PACE,419,RHOW,32,28,15,15,1.0113,1.4592,1.0793,1.7233,2.7515,-0.060048,-0.029032,-0.009607,NA,TRUE,TRUE,0.013287,0.011932,40.1707,-0.458296,-0.310355,-0.21117,0.288776,0.350263,0.458296,-84.7015,-45.0021,-26.7885,34.5465,45.0021,84.7015
MAFR,HYPERNETS,PACE,420,RHOW,32,28,15,15,1.0004,1.4152,1.0644,1.6978,2.7081,-0.059237,-0.028421,-0.009102,NA,TRUE,TRUE,0.013268,0.011935,39.6318,-0.447908,-0.295035,-0.212555,0.276602,0.347723,0.447908,-81.174,-41.8511,-27.0095,34.5737,41.8511,81.174
MAFR,HYPERNETS,PACE,421,RHOW,32,28,15,15,1.0081,1.4116,1.0563,1.6769,2.6621,-0.058481,-0.028051,-0.008883,NA,TRUE,TRUE,0.013143,0.01185,38.9141,-0.43882,-0.28891,-0.212378,0.273984,0.34413,0.43882,-78.2502,-40.6291,-26.9871,33.5895,40.6291,78.2502
MAFR,HYPERNETS,PACE,422,RHOW,32,28,15,15,0.9989,1.3835,1.0414,1.6504,2.6158,-0.058083,-0.027744,-0.008601,NA,TRUE,TRUE,0.01317,0.011891,38.3428,-0.438219,-0.275163,-0.212297,0.269205,0.33554,0.438219,-78.0508,-37.9621,-26.9835,32.9998,37.9621,78.0508
MAFR,HYPERNETS,PACE,423,RHOW,32,28,15,15,0.9797,1.3572,1.0286,1.634,2.5957,-0.058161,-0.027562,-0.0083,NA,TRUE,TRUE,0.013256,0.01195,38.0137,-0.434688,-0.271475,-0.212082,0.264817,0.335577,0.434688,-76.9553,-37.2637,-26.9487,32.7613,37.2637,76.9553
MAFR,HYPERNETS,PACE,424,RHOW,32,28,15,15,0.9786,1.3553,1.0101,1.5956,2.5204,-0.056625,-0.026775,-0.007878,NA,TRUE,TRUE,0.013214,0.011913,37.4189,-0.432648,-0.272898,-0.215753,0.266325,0.311485,0.432648,-76.3032,-37.5323,-27.5529,31.0088,37.5323,76.3032
MAFR,HYPERNETS,PACE,425,RHOW,32,28,15,15,0.9751,1.3356,1.0001,1.5762,2.4841,-0.05635,-0.026607,-0.007735,NA,TRUE,TRUE,0.013261,0.011933,36.9198,-0.434768,-0.263909,-0.216406,0.259545,0.309708,0.434768,-76.962,-35.8528,-27.6416,30.5689,35.8528,76.962
